name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
SL1344_RS05120	0	0	0	4	0	0	1	3	0	2	0	1	0	3	0	0	0.00	0.00	0.00	4.80	0.00	0.00	1.21	4.15	0.00	1.55	0.00	1.08	0.00	3.18	0.00	0.00
SL1344_RS05125	0	2	1	4	1	1	2	4	0	1	1	1	0	1	2	0	0.00	2.34	7.21	4.80	2.01	1.17	2.41	5.54	0.00	0.77	1.12	1.08	0.00	1.06	2.10	0.00
SL1344_RS05130	0	3	3	6	1	1	2	5	1	1	3	6	2	3	2	1	0.00	3.50	21.64	7.21	2.01	1.17	2.41	6.92	1.69	0.77	3.37	6.49	6.64	3.18	2.10	1.10
SL1344_RS05140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS05145	0	2	1	2	3	1	2	1	4	4	1	5	0	1	2	3	0.00	2.34	7.21	2.40	6.04	1.17	2.41	1.38	6.75	3.10	1.12	5.41	0.00	1.06	2.10	3.29
SL1344_RS05150	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sseI	0	2	0	1	1	0	1	8	1	18	0	0	0	1	0	3	0.00	2.34	0.00	1.20	2.01	0.00	1.21	11.07	1.69	13.95	0.00	0.00	0.00	1.06	0.00	3.29
SL1344_RS05170	0	0	0	0	1	1	1	3	1	2	1	4	0	3	0	6	0.00	0.00	0.00	0.00	2.01	1.17	1.21	4.15	1.69	1.55	1.12	4.32	0.00	3.18	0.00	6.58
SL1344_RS05175	0	1	0	1	0	2	1	2	2	2	1	0	1	1	1	9	0.00	1.17	0.00	1.20	0.00	2.33	1.21	2.77	3.37	1.55	1.12	0.00	3.32	1.06	1.05	9.87
gtgE	0	1	0	2	0	2	0	1	1	2	1	0	1	1	0	9	0.00	1.17	0.00	2.40	0.00	2.33	0.00	1.38	1.69	1.55	1.12	0.00	3.32	1.06	0.00	9.87
SL1344_RS05185	0	1	0	1	2	1	0	0	0	0	1	0	0	1	0	4	0.00	1.17	0.00	1.20	4.02	1.17	0.00	0.00	0.00	0.00	1.12	0.00	0.00	1.06	0.00	4.39
pepN	8	45	4	52	34	24	42	22	35	85	24	34	6	40	20	37	28.09	52.57	28.85	62.46	68.42	27.99	50.67	30.45	59.05	65.85	26.98	36.76	19.91	42.41	21.00	40.58
pyrD	0	5	0	2	3	11	5	2	5	7	0	4	4	10	10	4	0.00	5.84	0.00	2.40	6.04	12.83	6.03	2.77	8.44	5.42	0.00	4.32	13.28	10.60	10.50	4.39
zapC	0	11	0	3	2	4	6	6	8	9	8	8	2	8	16	13	0.00	12.85	0.00	3.60	4.02	4.66	7.24	8.31	13.50	6.97	8.99	8.65	6.64	8.48	16.80	14.26
SL1344_RS05205	0	13	0	7	2	4	2	5	5	6	5	9	3	3	5	10	0.00	15.19	0.00	8.41	4.02	4.66	2.41	6.92	8.44	4.65	5.62	9.73	9.96	3.18	5.25	10.97
rlmKL	0	4	2	5	4	6	7	1	4	5	7	12	3	14	8	5	0.00	4.67	14.43	6.01	8.05	7.00	8.45	1.38	6.75	3.87	7.87	12.97	9.96	14.84	8.40	5.48
SL1344_RS05215	5	14	1	8	6	10	8	6	6	15	6	17	4	21	7	15	17.56	16.36	7.21	9.61	12.07	11.66	9.65	8.31	10.12	11.62	6.75	18.38	13.28	22.26	7.35	16.45
pqiA	2	9	1	9	6	10	7	7	7	9	5	11	3	12	4	13	7.02	10.51	7.21	10.81	12.07	11.66	8.45	9.69	11.81	6.97	5.62	11.89	9.96	12.72	4.20	14.26
pqiB	5	11	2	7	8	8	4	7	7	13	8	7	3	24	6	10	17.56	12.85	14.43	8.41	16.10	9.33	4.83	9.69	11.81	10.07	8.99	7.57	9.96	25.45	6.30	10.97
pqiC	1	6	0	4	3	8	3	2	7	13	8	6	4	19	1	6	3.51	7.01	0.00	4.80	6.04	9.33	3.62	2.77	11.81	10.07	8.99	6.49	13.28	20.14	1.05	6.58
rmf	4	41	6	14	13	3	21	15	3	7	11	25	2	13	9	51	14.05	47.90	43.28	16.82	26.16	3.50	25.34	20.76	5.06	5.42	12.37	27.03	6.64	13.78	9.45	55.93
fabA	5	8	0	10	6	31	19	16	9	23	9	10	8	23	30	13	17.56	9.35	0.00	12.01	12.07	36.15	22.92	22.15	15.18	17.82	10.12	10.81	26.55	24.38	31.50	14.26
SL1344_RS05245	4	18	2	15	11	11	23	13	10	24	15	14	14	41	17	13	14.05	21.03	14.43	18.02	22.14	12.83	27.75	17.99	16.87	18.59	16.87	15.14	46.46	43.47	17.85	14.26
matP	4	8	1	8	3	7	11	9	6	10	5	3	1	11	5	4	14.05	9.35	7.21	9.61	6.04	8.16	13.27	12.46	10.12	7.75	5.62	3.24	3.32	11.66	5.25	4.39
ompA	108	420	63	477	350	378	526	244	192	540	1044	1123	197	687	334	563	379.24	490.70	454.44	572.99	704.36	440.81	634.59	337.74	323.93	418.35	1173.82	1214.24	653.82	728.37	350.70	617.47
sulA	13	44	2	31	16	28	42	51	43	59	11	17	12	40	54	39	45.65	51.41	14.43	37.24	32.20	32.65	50.67	70.59	72.55	45.71	12.37	18.38	39.83	42.41	56.70	42.77
SL1344_RS05265	1	2	0	3	1	1	6	0	2	7	0	5	3	6	2	1	3.51	2.34	0.00	3.60	2.01	1.17	7.24	0.00	3.37	5.42	0.00	5.41	9.96	6.36	2.10	1.10
yccS	2	13	1	11	5	6	12	14	6	14	4	17	5	13	5	23	7.02	15.19	7.21	13.21	10.06	7.00	14.48	19.38	10.12	10.85	4.50	18.38	16.59	13.78	5.25	25.23
SL1344_RS05275	0	2	0	2	3	2	2	2	0	3	2	1	1	2	3	12	0.00	2.34	0.00	2.40	6.04	2.33	2.41	2.77	0.00	2.32	2.25	1.08	3.32	2.12	3.15	13.16
helD	5	13	6	17	6	7	13	9	6	17	15	15	4	11	6	19	17.56	15.19	43.28	20.42	12.07	8.16	15.68	12.46	10.12	13.17	16.87	16.22	13.28	11.66	6.30	20.84
mgsA	1	2	0	7	4	6	12	5	5	8	6	7	1	10	8	9	3.51	2.34	0.00	8.41	8.05	7.00	14.48	6.92	8.44	6.20	6.75	7.57	3.32	10.60	8.40	9.87
SL1344_RS05290	0	1	0	2	0	0	3	2	6	4	1	1	0	2	0	2	0.00	1.17	0.00	2.40	0.00	0.00	3.62	2.77	10.12	3.10	1.12	1.08	0.00	2.12	0.00	2.19
SL1344_RS05295	2	7	0	15	1	10	9	4	15	11	8	9	4	10	5	12	7.02	8.18	0.00	18.02	2.01	11.66	10.86	5.54	25.31	8.52	8.99	9.73	13.28	10.60	5.25	13.16
hspQ	3	13	2	11	2	14	11	13	11	16	5	15	4	16	9	9	10.53	15.19	14.43	13.21	4.02	16.33	13.27	17.99	18.56	12.40	5.62	16.22	13.28	16.96	9.45	9.87
rlmI	3	11	3	9	3	11	6	13	8	17	14	16	3	13	9	9	10.53	12.85	21.64	10.81	6.04	12.83	7.24	17.99	13.50	13.17	15.74	17.30	9.96	13.78	9.45	9.87
SL1344_RS05310	0	5	0	2	3	1	4	6	3	5	1	4	1	0	1	3	0.00	5.84	0.00	2.40	6.04	1.17	4.83	8.31	5.06	3.87	1.12	4.32	3.32	0.00	1.05	3.29
SL1344_RS05315	0	2	0	3	2	3	4	5	1	6	1	4	2	2	1	2	0.00	2.34	0.00	3.60	4.02	3.50	4.83	6.92	1.69	4.65	1.12	4.32	6.64	2.12	1.05	2.19
yccX	2	8	3	4	5	7	11	8	3	13	17	15	1	19	6	12	7.02	9.35	21.64	4.80	10.06	8.16	13.27	11.07	5.06	10.07	19.11	16.22	3.32	20.14	6.30	13.16
tusE	2	9	4	4	4	8	15	9	6	14	18	19	2	21	6	14	7.02	10.51	28.85	4.80	8.05	9.33	18.10	12.46	10.12	10.85	20.24	20.54	6.64	22.26	6.30	15.35
yccA	1	5	0	5	7	9	26	7	17	34	10	11	4	24	7	9	3.51	5.84	0.00	6.01	14.09	10.50	31.37	9.69	28.68	26.34	11.24	11.89	13.28	25.45	7.35	9.87
pipA	5	29	2	18	10	38	17	32	36	53	16	26	14	24	45	19	17.56	33.88	14.43	21.62	20.12	44.31	20.51	44.29	60.74	41.06	17.99	28.11	46.46	25.45	47.25	20.84
pipB	0	0	0	1	0	6	0	7	7	19	0	0	0	1	6	2	0.00	0.00	0.00	1.20	0.00	7.00	0.00	9.69	11.81	14.72	0.00	0.00	0.00	1.06	6.30	2.19
SL1344_RS05350	3	9	0	10	6	6	0	0	1	5	0	0	0	1	5	61	10.53	10.51	0.00	12.01	12.07	7.00	0.00	0.00	1.69	3.87	0.00	0.00	0.00	1.06	5.25	66.90
sigE	4	9	0	11	6	8	0	0	2	5	0	0	0	1	5	69	14.05	10.51	0.00	13.21	12.07	9.33	0.00	0.00	3.37	3.87	0.00	0.00	0.00	1.06	5.25	75.68
sopB	2	8	0	10	4	12	1	1	2	4	1	1	0	1	4	87	7.02	9.35	0.00	12.01	8.05	13.99	1.21	1.38	3.37	3.10	1.12	1.08	0.00	1.06	4.20	95.42
SL1344_RS05365	0	0	0	0	0	8	3	0	3	0	6	2	0	2	1	4	0.00	0.00	0.00	0.00	0.00	9.33	3.62	0.00	5.06	0.00	6.75	2.16	0.00	2.12	1.05	4.39
SL1344_RS05370	0	0	0	0	0	8	2	0	3	0	4	1	0	1	0	3	0.00	0.00	0.00	0.00	0.00	9.33	2.41	0.00	5.06	0.00	4.50	1.08	0.00	1.06	0.00	3.29
SL1344_RS05375	1	7	2	1	0	6	2	1	6	2	5	2	0	2	3	2	3.51	8.18	14.43	1.20	0.00	7.00	2.41	1.38	10.12	1.55	5.62	2.16	0.00	2.12	3.15	2.19
SL1344_RS05380	2	3	2	4	1	3	2	2	9	5	7	4	3	8	1	3	7.02	3.50	14.43	4.80	2.01	3.50	2.41	2.77	15.18	3.87	7.87	4.32	9.96	8.48	1.05	3.29
hprR	1	1	0	3	2	3	0	2	5	3	2	4	1	3	1	2	3.51	1.17	0.00	3.60	4.02	3.50	0.00	2.77	8.44	2.32	2.25	4.32	3.32	3.18	1.05	2.19
hiuH	1	9	0	3	3	4	1	4	4	8	3	4	1	6	2	5	3.51	10.51	0.00	3.60	6.04	4.66	1.21	5.54	6.75	6.20	3.37	4.32	3.32	6.36	2.10	5.48
SL1344_RS05395	2	0	0	0	1	1	0	2	4	4	1	1	2	0	2	1	7.02	0.00	0.00	0.00	2.01	1.17	0.00	2.77	6.75	3.10	1.12	1.08	6.64	0.00	2.10	1.10
hpaB	1	5	0	1	0	1	0	4	8	3	2	0	1	2	4	0	3.51	5.84	0.00	1.20	0.00	1.17	0.00	5.54	13.50	2.32	2.25	0.00	3.32	2.12	4.20	0.00
hpaR	3	5	1	6	1	6	3	10	14	10	0	4	1	6	8	1	10.53	5.84	7.21	7.21	2.01	7.00	3.62	13.84	23.62	7.75	0.00	4.32	3.32	6.36	8.40	1.10
hpaG	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	2	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	1.69	0.77	0.00	0.00	3.32	1.06	0.00	2.19
hpaE	0	3	0	0	0	1	0	3	3	3	0	2	3	0	1	1	0.00	3.50	0.00	0.00	0.00	1.17	0.00	4.15	5.06	2.32	0.00	2.16	9.96	0.00	1.05	1.10
hpaD	0	3	0	1	0	0	0	0	2	2	0	3	2	0	1	0	0.00	3.50	0.00	1.20	0.00	0.00	0.00	0.00	3.37	1.55	0.00	3.24	6.64	0.00	1.05	0.00
SL1344_RS05425	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0.00	0.00	0.00	0.00	0.00	1.17	0.00	1.38	0.00	0.00	0.00	1.08	0.00	0.00	1.05	0.00
hpaH	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.00	0.00	0.00	0.00	2.01	0.00	1.21	0.00	0.00	0.77	0.00	0.00	0.00	0.00	1.05	0.00
hpaI	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	1.20	2.01	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hpaX	0	2	0	2	0	0	1	2	0	0	1	0	0	0	0	1	0.00	2.34	0.00	2.40	0.00	0.00	1.21	2.77	0.00	0.00	1.12	0.00	0.00	0.00	0.00	1.10
hpaA	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0.00	1.17	0.00	0.00	0.00	0.00	0.00	1.38	1.69	0.77	1.12	0.00	0.00	1.06	0.00	0.00
SL1344_RS05450	0	0	0	3	1	0	0	3	2	1	3	0	0	5	1	0	0.00	0.00	0.00	3.60	2.01	0.00	0.00	4.15	3.37	0.77	3.37	0.00	0.00	5.30	1.05	0.00
SL1344_RS05455	0	2	0	1	2	1	2	2	2	3	0	4	0	3	2	0	0.00	2.34	0.00	1.20	4.02	1.17	2.41	2.77	3.37	2.32	0.00	4.32	0.00	3.18	2.10	0.00
cbpM	3	15	1	22	8	8	20	12	7	18	12	15	4	12	6	22	10.53	17.52	7.21	26.43	16.10	9.33	24.13	16.61	11.81	13.95	13.49	16.22	13.28	12.72	6.30	24.13
cbpA	7	17	3	20	12	11	21	12	6	18	13	21	4	11	7	30	24.58	19.86	21.64	24.02	24.15	12.83	25.34	16.61	10.12	13.95	14.62	22.71	13.28	11.66	7.35	32.90
SL1344_RS05470	2	11	5	7	2	5	8	6	3	9	11	45	2	9	2	6	7.02	12.85	36.07	8.41	4.02	5.83	9.65	8.31	5.06	6.97	12.37	48.66	6.64	9.54	2.10	6.58
SL1344_RS05475	1	1	1	2	0	2	2	1	1	4	1	5	1	5	2	2	3.51	1.17	7.21	2.40	0.00	2.33	2.41	1.38	1.69	3.10	1.12	5.41	3.32	5.30	2.10	2.19
SL1344_RS05480	0	2	0	2	0	0	0	0	1	2	0	1	1	1	0	1	0.00	2.34	0.00	2.40	0.00	0.00	0.00	0.00	1.69	1.55	0.00	1.08	3.32	1.06	0.00	1.10
SL1344_RS05485	0	4	0	1	1	0	0	0	0	2	1	1	1	2	1	0	0.00	4.67	0.00	1.20	2.01	0.00	0.00	0.00	0.00	1.55	1.12	1.08	3.32	2.12	1.05	0.00
agp	0	2	0	2	1	4	7	2	2	4	1	4	2	3	5	5	0.00	2.34	0.00	2.40	2.01	4.66	8.45	2.77	3.37	3.10	1.12	4.32	6.64	3.18	5.25	5.48
SL1344_RS05495	0	6	0	25	12	7	19	1	1	16	19	31	3	17	20	27	0.00	7.01	0.00	30.03	24.15	8.16	22.92	1.38	1.69	12.40	21.36	33.52	9.96	18.02	21.00	29.61
wrbA	0	7	0	25	11	7	21	2	2	18	19	29	4	16	17	25	0.00	8.18	0.00	30.03	22.14	8.16	25.34	2.77	3.37	13.95	21.36	31.36	13.28	16.96	17.85	27.42
SL1344_RS05505	0	7	0	5	2	3	4	1	5	4	3	15	4	4	5	6	0.00	8.18	0.00	6.01	4.02	3.50	4.83	1.38	8.44	3.10	3.37	16.22	13.28	4.24	5.25	6.58
rutR	1	3	0	4	1	6	9	4	3	7	15	6	5	7	2	8	3.51	3.50	0.00	4.80	2.01	7.00	10.86	5.54	5.06	5.42	16.87	6.49	16.59	7.42	2.10	8.77
SL1344_RS05515	2	5	0	3	0	4	7	3	3	5	12	5	6	4	2	7	7.02	5.84	0.00	3.60	0.00	4.66	8.45	4.15	5.06	3.87	13.49	5.41	19.91	4.24	2.10	7.68
putA	0	2	0	4	2	2	2	1	1	4	1	1	1	2	1	4	0.00	2.34	0.00	4.80	4.02	2.33	2.41	1.38	1.69	3.10	1.12	1.08	3.32	2.12	1.05	4.39
putP	1	2	0	0	0	4	3	1	1	3	2	3	0	3	2	8	3.51	2.34	0.00	0.00	0.00	4.66	3.62	1.38	1.69	2.32	2.25	3.24	0.00	3.18	2.10	8.77
phoH	0	11	0	1	4	6	3	6	4	11	3	4	1	7	3	7	0.00	12.85	0.00	1.20	8.05	7.00	3.62	8.31	6.75	8.52	3.37	4.32	3.32	7.42	3.15	7.68
SL1344_RS05540	0	11	0	7	5	8	10	6	8	9	12	16	0	9	4	13	0.00	12.85	0.00	8.41	10.06	9.33	12.06	8.31	13.50	6.97	13.49	17.30	0.00	9.54	4.20	14.26
SL1344_RS05545	4	26	2	11	9	9	7	23	10	23	6	18	3	14	15	7	14.05	30.38	14.43	13.21	18.11	10.50	8.45	31.84	16.87	17.82	6.75	19.46	9.96	14.84	15.75	7.68
SL1344_RS05550	0	2	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0.00	2.34	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	1.12	0.00	0.00	1.06	2.10	0.00
SL1344_RS05555	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS05560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS05565	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0.00	1.17	0.00	1.20	0.00	0.00	0.00	0.00	5.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS05570	4	10	2	11	7	3	5	13	7	10	3	7	3	4	5	6	14.05	11.68	14.43	13.21	14.09	3.50	6.03	17.99	11.81	7.75	3.37	7.57	9.96	4.24	5.25	6.58
ghrA	0	5	1	5	4	10	1	4	6	10	4	6	2	9	8	4	0.00	5.84	7.21	6.01	8.05	11.66	1.21	5.54	10.12	7.75	4.50	6.49	6.64	9.54	8.40	4.39
SL1344_RS05595	1	15	1	12	8	14	10	10	10	24	2	16	5	28	12	8	3.51	17.52	7.21	14.41	16.10	16.33	12.06	13.84	16.87	18.59	2.25	17.30	16.59	29.69	12.60	8.77
SL1344_RS05600	5	9	0	9	7	7	8	7	12	20	9	6	3	17	7	6	17.56	10.51	0.00	10.81	14.09	8.16	9.65	9.69	20.25	15.49	10.12	6.49	9.96	18.02	7.35	6.58
SL1344_RS05605	6	18	1	12	17	30	14	16	10	36	16	13	10	28	14	18	21.07	21.03	7.21	14.41	34.21	34.99	16.89	22.15	16.87	27.89	17.99	14.06	33.19	29.69	14.70	19.74
csgG	2	5	0	7	8	13	6	5	6	10	7	3	4	9	5	9	7.02	5.84	0.00	8.41	16.10	15.16	7.24	6.92	10.12	7.75	7.87	3.24	13.28	9.54	5.25	9.87
csgF	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	1.08	0.00	1.06	1.05	0.00
csgE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00	1.05	0.00
csgD	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.77	0.00	0.00	0.00	0.00	2.10	0.00
csgB	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00
csgA	2	5	0	4	3	1	0	4	4	0	0	0	0	1	0	4	7.02	5.84	0.00	4.80	6.04	1.17	0.00	5.54	6.75	0.00	0.00	0.00	0.00	1.06	0.00	4.39
csgC	1	2	1	0	1	3	9	2	0	0	0	0	0	1	2	13	3.51	2.34	7.21	0.00	2.01	3.50	10.86	2.77	0.00	0.00	0.00	0.00	0.00	1.06	2.10	14.26
SL1344_RS05645	1	2	2	1	0	3	11	2	0	0	0	0	0	4	2	16	3.51	2.34	14.43	1.20	0.00	3.50	13.27	2.77	0.00	0.00	0.00	0.00	0.00	4.24	2.10	17.55
ymdB	1	12	3	10	9	10	12	19	12	14	9	10	3	17	5	20	3.51	14.02	21.64	12.01	18.11	11.66	14.48	26.30	20.25	10.85	10.12	10.81	9.96	18.02	5.25	21.93
SL1344_RS05655	4	14	3	18	7	13	10	19	17	44	11	13	13	30	13	15	14.05	16.36	21.64	21.62	14.09	15.16	12.06	26.30	28.68	34.09	12.37	14.06	43.15	31.81	13.65	16.45
mdoC	4	18	2	20	12	15	2	17	13	33	11	10	11	25	10	6	14.05	21.03	14.43	24.02	24.15	17.49	2.41	23.53	21.93	25.57	12.37	10.81	36.51	26.51	10.50	6.58
mdoG	4	9	3	29	16	30	23	10	10	26	27	17	5	29	9	27	14.05	10.51	21.64	34.84	32.20	34.99	27.75	13.84	16.87	20.14	30.36	18.38	16.59	30.75	9.45	29.61
mdoH	9	19	10	36	26	38	35	14	19	31	35	40	14	42	29	30	31.60	22.20	72.13	43.24	52.32	44.31	42.23	19.38	32.06	24.02	39.35	43.25	46.46	44.53	30.45	32.90
SL1344_RS05675	1	3	0	5	2	6	6	3	7	7	6	4	3	1	3	2	3.51	3.50	0.00	6.01	4.02	7.00	7.24	4.15	11.81	5.42	6.75	4.32	9.96	1.06	3.15	2.19
SL1344_RS05680	0	1	0	5	1	3	6	3	6	5	8	5	3	2	2	0	0.00	1.17	0.00	6.01	2.01	3.50	7.24	4.15	10.12	3.87	8.99	5.41	9.96	2.12	2.10	0.00
mdtG	0	0	1	5	2	2	5	6	1	4	3	9	3	10	4	7	0.00	0.00	7.21	6.01	4.02	2.33	6.03	8.31	1.69	3.10	3.37	9.73	9.96	10.60	4.20	7.68
SL1344_RS05690	1	4	0	2	3	6	10	8	2	3	5	11	5	9	8	7	3.51	4.67	0.00	2.40	6.04	7.00	12.06	11.07	3.37	2.32	5.62	11.89	16.59	9.54	8.40	7.68
SL1344_RS05695	1	0	1	2	0	3	2	2	4	2	0	1	0	0	3	2	3.51	0.00	7.21	2.40	0.00	3.50	2.41	2.77	6.75	1.55	0.00	1.08	0.00	0.00	3.15	2.19
SL1344_RS05700	1	0	0	1	0	3	1	1	1	2	0	0	0	1	0	1	3.51	0.00	0.00	1.20	0.00	3.50	1.21	1.38	1.69	1.55	0.00	0.00	0.00	1.06	0.00	1.10
SL1344_RS05705	0	0	0	1	0	1	1	0	0	2	0	0	0	2	0	0	0.00	0.00	0.00	1.20	0.00	1.17	1.21	0.00	0.00	1.55	0.00	0.00	0.00	2.12	0.00	0.00
SL1344_RS05710	0	0	0	0	0	3	1	0	2	2	0	0	0	2	1	1	0.00	0.00	0.00	0.00	0.00	3.50	1.21	0.00	3.37	1.55	0.00	0.00	0.00	2.12	1.05	1.10
solA	3	8	1	5	3	10	5	5	7	14	7	2	3	8	8	9	10.53	9.35	7.21	6.01	6.04	11.66	6.03	6.92	11.81	10.85	7.87	2.16	9.96	8.48	8.40	9.87
bssS	11	40	4	42	29	25	23	41	42	95	19	25	9	28	31	12	38.63	46.73	28.85	50.45	58.36	29.15	27.75	56.75	70.86	73.60	21.36	27.03	29.87	29.69	32.55	13.16
dinI	3	16	0	16	10	15	10	27	20	22	6	16	6	29	27	9	10.53	18.69	0.00	19.22	20.12	17.49	12.06	37.37	33.74	17.04	6.75	17.30	19.91	30.75	28.35	9.87
pyrC	0	13	0	17	15	17	14	12	10	22	11	17	5	25	11	13	0.00	15.19	0.00	20.42	30.19	19.82	16.89	16.61	16.87	17.04	12.37	18.38	16.59	26.51	11.55	14.26
SL1344_RS05735	3	28	1	20	13	16	20	20	27	44	19	36	10	29	19	21	10.53	32.71	7.21	24.02	26.16	18.66	24.13	27.68	45.55	34.09	21.36	38.92	33.19	30.75	19.95	23.03
grxB	7	13	1	12	5	16	11	7	14	25	11	21	4	20	13	18	24.58	15.19	7.21	14.41	10.06	18.66	13.27	9.69	23.62	19.37	12.37	22.71	13.28	21.20	13.65	19.74
mdtH	4	10	1	25	7	6	12	6	8	14	18	23	6	17	6	17	14.05	11.68	7.21	30.03	14.09	7.00	14.48	8.31	13.50	10.85	20.24	24.87	19.91	18.02	6.30	18.64
rimJ	1	5	2	3	4	3	6	3	3	9	6	4	3	7	9	10	3.51	5.84	14.43	3.60	8.05	3.50	7.24	4.15	5.06	6.97	6.75	4.32	9.96	7.42	9.45	10.97
SL1344_RS05755	2	5	2	3	4	2	4	0	2	7	3	3	1	7	5	7	7.02	5.84	14.43	3.60	8.05	2.33	4.83	0.00	3.37	5.42	3.37	3.24	3.32	7.42	5.25	7.68
SL1344_RS05760	4	6	1	5	5	2	3	9	5	8	6	12	3	13	9	10	14.05	7.01	7.21	6.01	10.06	2.33	3.62	12.46	8.44	6.20	6.75	12.97	9.96	13.78	9.45	10.97
murJ	3	9	2	10	11	24	9	8	16	38	10	10	2	11	15	26	10.53	10.51	14.43	12.01	22.14	27.99	10.86	11.07	26.99	29.44	11.24	10.81	6.64	11.66	15.75	28.52
flgN	17	24	0	29	18	69	38	12	19	78	9	4	0	10	32	80	59.70	28.04	0.00	34.84	36.22	80.47	45.84	16.61	32.06	60.43	10.12	4.32	0.00	10.60	33.60	87.74
flgM	15	36	1	25	11	64	31	15	16	52	5	2	1	1	22	76	52.67	42.06	7.21	30.03	22.14	74.63	37.40	20.76	26.99	40.29	5.62	2.16	3.32	1.06	23.10	83.35
flgA	3	14	2	3	1	15	13	1	3	1	0	1	0	1	12	20	10.53	16.36	14.43	3.60	2.01	17.49	15.68	1.38	5.06	0.77	0.00	1.08	0.00	1.06	12.60	21.93
flgB	5	9	1	3	0	14	42	3	7	4	0	0	1	0	15	58	17.56	10.51	7.21	3.60	0.00	16.33	50.67	4.15	11.81	3.10	0.00	0.00	3.32	0.00	15.75	63.61
flgC	5	8	2	3	0	15	38	4	9	5	0	1	0	0	13	40	17.56	9.35	14.43	3.60	0.00	17.49	45.84	5.54	15.18	3.87	0.00	1.08	0.00	0.00	13.65	43.87
flgD	11	18	3	10	2	24	53	9	13	14	0	0	0	1	21	69	38.63	21.03	21.64	12.01	4.02	27.99	63.94	12.46	21.93	10.85	0.00	0.00	0.00	1.06	22.05	75.68
flgE	7	25	5	6	6	30	81	11	15	22	0	0	0	1	26	92	24.58	29.21	36.07	7.21	12.07	34.99	97.72	15.23	25.31	17.04	0.00	0.00	0.00	1.06	27.30	100.90
SL1344_RS05805	8	19	1	7	3	31	73	12	12	18	0	1	0	2	22	89	28.09	22.20	7.21	8.41	6.04	36.15	88.07	16.61	20.25	13.95	0.00	1.08	0.00	2.12	23.10	97.61
flgG	5	20	2	9	6	34	71	7	11	13	0	0	0	0	20	79	17.56	23.37	14.43	10.81	12.07	39.65	85.66	9.69	18.56	10.07	0.00	0.00	0.00	0.00	21.00	86.64
