run_accession,corpus
ERR1706727,NCBI_Salmonella_Stage2
ERR1706728,NCBI_Salmonella_Stage2
ERR1706730,NCBI_Salmonella_Stage2
ERR1706731,NCBI_Salmonella_Stage2
ERR1706733,NCBI_Salmonella_Stage2
ERR1706734,NCBI_Salmonella_Stage2
ERR1706737,NCBI_Salmonella_Stage2
ERR1706739,NCBI_Salmonella_Stage2
ERR1706740,NCBI_Salmonella_Stage2
ERR1706743,NCBI_Salmonella_Stage2
ERR1706745,NCBI_Salmonella_Stage2
ERR1706746,NCBI_Salmonella_Stage2
ERR1706747,NCBI_Salmonella_Stage2
ERR1706748,NCBI_Salmonella_Stage2
ERR1706753,NCBI_Salmonella_Stage2
ERR1706754,NCBI_Salmonella_Stage2
ERR1706755,NCBI_Salmonella_Stage2
ERR1706756,NCBI_Salmonella_Stage2
ERR1706757,NCBI_Salmonella_Stage2
ERR1706758,NCBI_Salmonella_Stage2
ERR1706759,NCBI_Salmonella_Stage2
ERR1706760,NCBI_Salmonella_Stage2
ERR1706761,NCBI_Salmonella_Stage2
ERR1706762,NCBI_Salmonella_Stage2
ERR1706763,NCBI_Salmonella_Stage2
ERR1706764,NCBI_Salmonella_Stage2
ERR1706765,NCBI_Salmonella_Stage2
ERR1706766,NCBI_Salmonella_Stage2
ERR1706767,NCBI_Salmonella_Stage2
ERR1706768,NCBI_Salmonella_Stage2
ERR1706769,NCBI_Salmonella_Stage2
ERR1735734,NCBI_Salmonella_Stage2
ERR1735735,NCBI_Salmonella_Stage2
ERR1735737,NCBI_Salmonella_Stage2
ERR1735738,NCBI_Salmonella_Stage2
ERR1821108,NCBI_Salmonella_Stage2
ERR1821109,NCBI_Salmonella_Stage2
ERR1821110,NCBI_Salmonella_Stage2
ERR1821111,NCBI_Salmonella_Stage2
ERR1821112,NCBI_Salmonella_Stage2
ERR1821114,NCBI_Salmonella_Stage2
ERR1821118,NCBI_Salmonella_Stage2
ERR1821119,NCBI_Salmonella_Stage2
ERR1952210,NCBI_Salmonella_Stage2
ERR1952211,NCBI_Salmonella_Stage2
ERR1952214,NCBI_Salmonella_Stage2
ERR1952215,NCBI_Salmonella_Stage2
ERR1952216,NCBI_Salmonella_Stage2
ERR1952217,NCBI_Salmonella_Stage2
ERR1952218,NCBI_Salmonella_Stage2
ERR1952220,NCBI_Salmonella_Stage2
ERR2020347,NCBI_Salmonella_Stage2
ERR2020348,NCBI_Salmonella_Stage2
ERR2020349,NCBI_Salmonella_Stage2
ERR2020350,NCBI_Salmonella_Stage2
ERR2020351,NCBI_Salmonella_Stage2
ERR2020352,NCBI_Salmonella_Stage2
ERR2116781,NCBI_Salmonella_Stage2
ERR2116782,NCBI_Salmonella_Stage2
ERR2116783,NCBI_Salmonella_Stage2
ERR2116784,NCBI_Salmonella_Stage2
ERR3453914,NCBI_Salmonella_Stage2
ERR3453917,NCBI_Salmonella_Stage2
ERR3453918,NCBI_Salmonella_Stage2
ERR3453925,NCBI_Salmonella_Stage2
ERR3477186,NCBI_Salmonella_Stage2
ERR3477188,NCBI_Salmonella_Stage2
ERR348243,NCBI_Salmonella_Stage2
ERR348244,NCBI_Salmonella_Stage2
ERR348245,NCBI_Salmonella_Stage2
ERR348246,NCBI_Salmonella_Stage2
ERR348247,NCBI_Salmonella_Stage2
ERR348248,NCBI_Salmonella_Stage2
ERR348249,NCBI_Salmonella_Stage2
ERR348250,NCBI_Salmonella_Stage2
ERR3535457,NCBI_Salmonella_Stage2
ERR3535458,NCBI_Salmonella_Stage2
ERR3535459,NCBI_Salmonella_Stage2
ERR3535460,NCBI_Salmonella_Stage2
ERR3535461,NCBI_Salmonella_Stage2
ERR3535462,NCBI_Salmonella_Stage2
ERR3535463,NCBI_Salmonella_Stage2
ERR3535464,NCBI_Salmonella_Stage2
ERR366393,NCBI_Salmonella_Stage2
ERR366394,NCBI_Salmonella_Stage2
ERR366395,NCBI_Salmonella_Stage2
ERR366396,NCBI_Salmonella_Stage2
ERR366397,NCBI_Salmonella_Stage2
ERR366399,NCBI_Salmonella_Stage2
ERR366400,NCBI_Salmonella_Stage2
ERR366401,NCBI_Salmonella_Stage2
ERR366402,NCBI_Salmonella_Stage2
ERR366403,NCBI_Salmonella_Stage2
ERR366404,NCBI_Salmonella_Stage2
ERR366406,NCBI_Salmonella_Stage2
ERR366407,NCBI_Salmonella_Stage2
ERR366408,NCBI_Salmonella_Stage2
ERR366409,NCBI_Salmonella_Stage2
ERR366410,NCBI_Salmonella_Stage2
ERR366412,NCBI_Salmonella_Stage2
ERR405232,NCBI_Salmonella_Stage2
ERR405233,NCBI_Salmonella_Stage2
ERR405235,NCBI_Salmonella_Stage2
ERR4557712,NCBI_Salmonella_Stage2
ERR4557713,NCBI_Salmonella_Stage2
ERR4557714,NCBI_Salmonella_Stage2
ERR4557715,NCBI_Salmonella_Stage2
ERR4557716,NCBI_Salmonella_Stage2
ERR4557717,NCBI_Salmonella_Stage2
ERR4557718,NCBI_Salmonella_Stage2
ERR4557719,NCBI_Salmonella_Stage2
ERR4557720,NCBI_Salmonella_Stage2
ERR4557721,NCBI_Salmonella_Stage2
ERR4557722,NCBI_Salmonella_Stage2
ERR4557723,NCBI_Salmonella_Stage2
ERR4557724,NCBI_Salmonella_Stage2
ERR4557725,NCBI_Salmonella_Stage2
ERR4557726,NCBI_Salmonella_Stage2
ERR5490319,NCBI_Salmonella_Stage2
ERR5490320,NCBI_Salmonella_Stage2
ERR5490321,NCBI_Salmonella_Stage2
ERR5490322,NCBI_Salmonella_Stage2
ERR5490323,NCBI_Salmonella_Stage2
ERR5490324,NCBI_Salmonella_Stage2
ERR5490325,NCBI_Salmonella_Stage2
ERR5490326,NCBI_Salmonella_Stage2
ERR5490327,NCBI_Salmonella_Stage2
ERR5490328,NCBI_Salmonella_Stage2
ERR5490329,NCBI_Salmonella_Stage2
ERR5490330,NCBI_Salmonella_Stage2
ERR5490331,NCBI_Salmonella_Stage2
ERR5490332,NCBI_Salmonella_Stage2
ERR5490333,NCBI_Salmonella_Stage2
ERR5490334,NCBI_Salmonella_Stage2
ERR5490335,NCBI_Salmonella_Stage2
ERR5490336,NCBI_Salmonella_Stage2
ERR5490337,NCBI_Salmonella_Stage2
ERR5490338,NCBI_Salmonella_Stage2
ERR5490339,NCBI_Salmonella_Stage2
ERR5490340,NCBI_Salmonella_Stage2
ERR5490341,NCBI_Salmonella_Stage2
ERR5490342,NCBI_Salmonella_Stage2
ERR5490343,NCBI_Salmonella_Stage2
ERR5490344,NCBI_Salmonella_Stage2
ERR5490345,NCBI_Salmonella_Stage2
ERR5490346,NCBI_Salmonella_Stage2
ERR5490347,NCBI_Salmonella_Stage2
ERR5490348,NCBI_Salmonella_Stage2
ERR5490349,NCBI_Salmonella_Stage2
ERR5490350,NCBI_Salmonella_Stage2
ERR5490351,NCBI_Salmonella_Stage2
ERR5490352,NCBI_Salmonella_Stage2
ERR5490353,NCBI_Salmonella_Stage2
ERR5490354,NCBI_Salmonella_Stage2
ERR5490355,NCBI_Salmonella_Stage2
ERR5490356,NCBI_Salmonella_Stage2
ERR5490357,NCBI_Salmonella_Stage2
ERR5490358,NCBI_Salmonella_Stage2
ERR5490359,NCBI_Salmonella_Stage2
ERR5490360,NCBI_Salmonella_Stage2
ERR5490361,NCBI_Salmonella_Stage2
ERR5490362,NCBI_Salmonella_Stage2
ERR5490363,NCBI_Salmonella_Stage2
ERR5490364,NCBI_Salmonella_Stage2
ERR5490365,NCBI_Salmonella_Stage2
ERR5490366,NCBI_Salmonella_Stage2
ERR5490367,NCBI_Salmonella_Stage2
ERR5490368,NCBI_Salmonella_Stage2
ERR5490369,NCBI_Salmonella_Stage2
ERR5490370,NCBI_Salmonella_Stage2
ERR5490371,NCBI_Salmonella_Stage2
ERR5490372,NCBI_Salmonella_Stage2
ERR5490373,NCBI_Salmonella_Stage2
ERR5490374,NCBI_Salmonella_Stage2
ERR5490375,NCBI_Salmonella_Stage2
ERR5490376,NCBI_Salmonella_Stage2
ERR5490377,NCBI_Salmonella_Stage2
ERR5490378,NCBI_Salmonella_Stage2
ERR5490379,NCBI_Salmonella_Stage2
ERR5490380,NCBI_Salmonella_Stage2
ERR5490381,NCBI_Salmonella_Stage2
ERR5490382,NCBI_Salmonella_Stage2
ERR5490383,NCBI_Salmonella_Stage2
ERR5490384,NCBI_Salmonella_Stage2
ERR5490385,NCBI_Salmonella_Stage2
ERR5490386,NCBI_Salmonella_Stage2
ERR5490387,NCBI_Salmonella_Stage2
ERR5490388,NCBI_Salmonella_Stage2
ERR5490389,NCBI_Salmonella_Stage2
ERR5490390,NCBI_Salmonella_Stage2
ERR5490391,NCBI_Salmonella_Stage2
ERR5490392,NCBI_Salmonella_Stage2
ERR5490393,NCBI_Salmonella_Stage2
ERR5490394,NCBI_Salmonella_Stage2
ERR5490395,NCBI_Salmonella_Stage2
ERR5490396,NCBI_Salmonella_Stage2
ERR5490397,NCBI_Salmonella_Stage2
ERR5490398,NCBI_Salmonella_Stage2
ERR5490399,NCBI_Salmonella_Stage2
ERR5490400,NCBI_Salmonella_Stage2
ERR5490401,NCBI_Salmonella_Stage2
ERR5490402,NCBI_Salmonella_Stage2
ERR5490403,NCBI_Salmonella_Stage2
ERR5490404,NCBI_Salmonella_Stage2
ERR5490405,NCBI_Salmonella_Stage2
ERR5490406,NCBI_Salmonella_Stage2
ERR5490407,NCBI_Salmonella_Stage2
ERR5490408,NCBI_Salmonella_Stage2
ERR5490409,NCBI_Salmonella_Stage2
ERR5490410,NCBI_Salmonella_Stage2
ERR5490411,NCBI_Salmonella_Stage2
ERR5490412,NCBI_Salmonella_Stage2
ERR5490413,NCBI_Salmonella_Stage2
ERR5490414,NCBI_Salmonella_Stage2
ERR5490415,NCBI_Salmonella_Stage2
ERR5490416,NCBI_Salmonella_Stage2
ERR5490417,NCBI_Salmonella_Stage2
ERR5490418,NCBI_Salmonella_Stage2
ERR5490419,NCBI_Salmonella_Stage2
ERR5490420,NCBI_Salmonella_Stage2
ERR5490421,NCBI_Salmonella_Stage2
ERR5490422,NCBI_Salmonella_Stage2
ERR5490423,NCBI_Salmonella_Stage2
ERR5490424,NCBI_Salmonella_Stage2
ERR5490425,NCBI_Salmonella_Stage2
ERR5490426,NCBI_Salmonella_Stage2
ERR5490427,NCBI_Salmonella_Stage2
ERR5490428,NCBI_Salmonella_Stage2
ERR5490429,NCBI_Salmonella_Stage2
ERR5490430,NCBI_Salmonella_Stage2
ERR5490431,NCBI_Salmonella_Stage2
ERR5490432,NCBI_Salmonella_Stage2
ERR5490433,NCBI_Salmonella_Stage2
ERR5490434,NCBI_Salmonella_Stage2
ERR5490435,NCBI_Salmonella_Stage2
ERR5490436,NCBI_Salmonella_Stage2
ERR5490437,NCBI_Salmonella_Stage2
ERR5490438,NCBI_Salmonella_Stage2
ERR5490439,NCBI_Salmonella_Stage2
ERR5490440,NCBI_Salmonella_Stage2
ERR5490441,NCBI_Salmonella_Stage2
ERR5490442,NCBI_Salmonella_Stage2
ERR5490443,NCBI_Salmonella_Stage2
ERR5490444,NCBI_Salmonella_Stage2
ERR582672,NCBI_Salmonella_Stage2
ERR582673,NCBI_Salmonella_Stage2
