gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
SL1344_RS09955,-0.1173,0.6288,-0.7461,-0.0425,-0.0479,0.0054
SL1344_RS09960,0.3302,0.9319,-0.6017,1.057,2.0856,-1.0286
SL1344_RS09965,0.6197,-0.5936,1.2133,0.6945,0.2037,0.4908
SL1344_RS09980,-0.7541,-3.5163,2.7622,-0.8985,-2.778,1.8795
SL1344_RS09985,-0.9653,-1.8041,0.8388,-0.4051,-3.7032,3.2981
SL1344_RS09990,-2.5502,-1.4416,-1.1086,-3.7429,-1.4264,-2.3165
SL1344_RS10005,-2.1877,0.506,-2.6937,-0.9356,-0.5333,-0.4023
SL1344_RS10010,2.2046,3.3133,-1.1087,1.5425,1.0517,0.4908
SL1344_RS10015,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10030,2.9416,1.7284,1.2132,-0.0425,1.0517,-1.0942
SL1344_RS10035,-0.9653,-1.4416,0.4763,-0.7795,0.6042,-1.3837
SL1344_RS10040,-1.7022,0.1434,-1.8456,1.1799,1.5822,-0.4023
SL1344_RS10045,0.1343,0.1434,-0.0091,-1.2649,-1.7557,0.4908
SL1344_RS10050,-0.1173,0.9914,-1.1087,-0.0425,3.3736,-3.4161
SL1344_RS10055,-0.9653,0.1434,-1.1087,-1.6275,0.6891,-2.3166
SL1344_RS10060,-0.6027,-1.079,0.4763,-2.3644,1.2322,-3.5966
SL1344_RS10065,-0.6027,0.7955,-1.3982,1.5425,4.3247,-2.7822
SL1344_RS10070,0.6197,0.1434,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS10075,0.6197,1.7284,-1.1087,-0.0425,0.6891,-0.7316
SL1344_RS10080,-0.9653,0.1434,-1.1087,0.6945,-0.5333,1.2278
SL1344_RS10085,0.6197,0.1434,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS10090,0.6197,1.7284,-1.1087,-0.0425,2.274,-2.3165
SL1344_RS10095,0.6197,2.0179,-1.3982,-0.7795,1.5371,-2.3166
SL1344_RS10100,1.3566,2.0179,-0.6613,-0.0425,2.9261,-2.9686
SL1344_RS10105,2.9416,2.9508,-0.0092,-0.0425,-0.5333,0.4908
SL1344_RS10115,0.1343,0.7955,-0.6612,-2.3644,1.2322,-3.5966
SL1344_RS10120,-1.7022,0.1434,-1.8456,-0.0425,1.7886,-1.8311
SL1344_RS10130,1.2718,0.7955,0.4763,1.5425,1.0517,0.4908
SL1344_RS10140,-0.9653,0.8804,-1.8457,1.5425,1.0517,0.4908
SL1344_RS10145,0.6197,3.8438,-3.2241,-1.6275,1.9692,-3.5967
SL1344_RS10150,0.6197,1.7284,-1.1087,-2.3644,-0.0479,-2.3165
SL1344_RS10155,2.2046,1.7284,0.4762,0.6096,0.5662,0.0434
SL1344_RS10160,0.6197,1.7284,-1.1087,1.5425,1.7886,-0.2461
SL1344_RS10165,1.1051,0.6288,0.4763,-1.6275,-0.0479,-1.5796
SL1344_RS10170,-1.7022,-2.1785,0.4763,-1.6275,-0.5333,-1.0942
SL1344_RS10175,0.6197,0.1434,0.4763,1.5425,1.0517,0.4908
SL1344_RS10180,2.2046,2.4653,-0.2607,-1.6275,0.2037,-1.8312
SL1344_RS10185,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10190,2.9416,0.1434,2.7982,-0.0425,1.0517,-1.0942
SL1344_RS10195,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10200,0.0421,0.1729,-0.1308,1.4314,1.5969,-0.1655
SL1344_RS10205,1.284,0.0565,1.2275,1.3299,1.8276,-0.4977
SL1344_RS10210,0.6197,2.4653,-1.8456,2.2794,-0.5333,2.8127
SL1344_RS10215,1.0424,0.2035,0.8389,0.1952,0.271,-0.0758
SL1344_RS10225,0.6197,2.4653,-1.8456,-1.6275,1.5822,-3.2097
SL1344_RS10230,3.427,3.6028,-0.1758,-0.8905,1.1548,-2.0453
SL1344_RS10235,-0.9653,-1.4416,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS10240,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10245,-0.9653,-1.4416,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS10250,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10255,0.6197,0.1434,0.4763,1.5425,2.6366,-1.0941
SL1344_RS10260,2.9416,1.7284,1.2132,0.6945,0.2037,0.4908
SL1344_RS10265,-0.9653,-1.4416,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS10270,-0.8209,-1.7826,0.9617,-0.0425,0.3598,-0.4023
SL1344_RS10275,0.3302,0.2928,0.0374,1.3071,1.7122,-0.4051
SL1344_RS10285,-0.6027,0.1434,-0.7461,1.1799,1.7886,-0.6087
SL1344_RS10300,0.6197,0.1434,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS10305,-0.9653,0.1434,-1.1087,-1.6275,0.2037,-1.8312
SL1344_RS10315,0.6197,0.1434,0.4763,-0.0425,2.6366,-2.6791
SL1344_RS10320,0.8338,-0.413,1.2468,-0.7795,1.3927,-2.1722
SL1344_RS10330,-0.5178,-1.7311,1.2133,-0.294,-0.7848,0.4908
SL1344_RS10335,-0.9653,-1.4416,0.4763,-2.3644,-1.2703,-1.0941
SL1344_RS10340,-0.9653,-1.4416,0.4763,-0.0425,0.6891,-0.7316
SL1344_RS10355,-2.1877,-0.342,-1.8457,0.6945,0.6891,0.0054
SL1344_RS10360,0.6197,-0.2192,0.8389,-1.1066,-0.8089,-0.2977
SL1344_RS10365,0.6197,-1.4416,2.0613,-2.3644,-1.2703,-1.0941
SL1344_RS10395,-0.9653,1.7284,-2.6937,0.6945,1.0517,-0.3572
SL1344_RS10400,2.9416,0.1434,2.7982,-0.7795,1.0517,-1.8312
SL1344_RS10405,-1.7022,-0.5936,-1.1086,-1.6275,-0.5333,-1.0942
SL1344_RS10410,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS10420,3.427,2.4653,0.9617,-0.5279,-1.0187,0.4908
SL1344_RS10430,2.2046,2.0179,0.1867,-2.3644,-0.5333,-1.8311
SL1344_RS10435,-0.9653,0.8804,-1.8457,-0.4051,-0.2438,-0.1613
SL1344_RS10445,0.6197,-0.5936,1.2133,1.5425,2.274,-0.7315
SL1344_RS10450,-0.9653,1.3658,-2.3311,-1.6275,0.2037,-1.8312
SL1344_RS10455,0.6197,0.1434,0.4763,-1.6275,0.2037,-1.8312
SL1344_RS10465,0.6197,1.7284,-1.1087,-1.6275,0.2037,-1.8312
SL1344_RS10475,-1.4958,-0.7497,-0.7461,-0.0425,0.9406,-0.9831
SL1344_RS10535,-1.7022,-2.1785,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10595,0.2219,1.203,-0.9811,-0.1429,0.2792,-0.4221
SL1344_RS10600,-0.7588,0.1434,-0.9022,0.746,0.6511,0.0949
SL1344_RS10645,1.1502,0.4329,0.7173,0.488,0.8203,-0.3323
SL1344_RS10650,1.3566,1.8315,-0.4749,0.9009,0.9757,-0.0748
SL1344_RS10710,-0.9653,-1.4416,0.4763,-1.1645,-1.2192,0.0547
SL1344_RS10720,0.1722,-3.7635,3.9357,-0.3181,-0.9694,0.6513
SL1344_RS10730,-1.4507,-1.079,-0.3717,-0.7795,-0.3527,-0.4268
SL1344_RS10740,-0.1688,-0.1976,0.0288,-0.5633,-0.9338,0.3705
SL1344_RS10765,-0.3132,0.506,-0.8192,0.2919,-0.1027,0.3946
SL1344_RS10835,0.6197,1.7284,-1.1087,-0.0425,-0.5333,0.4908
SL1344_RS10890,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS10895,0.082,-1.1005,1.1825,-0.4244,0.0628,-0.4872
SL1344_RS10915,-0.4899,-0.4593,-0.0306,0.0231,-0.2316,0.2547
SL1344_RS10945,0.6197,-0.342,0.9617,-2.3644,1.0517,-3.4161
SL1344_RS10960,0.6197,2.4653,-1.8456,-0.0425,2.274,-2.3165
SL1344_RS10965,-0.1173,-0.5936,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS10970,0.0892,-0.0976,0.1868,0.4429,1.0517,-0.6088
SL1344_RS10985,-2.5502,-4.6115,2.0613,-3.7429,-4.2337,0.4908
SL1344_RS11010,0.6197,0.1434,0.4763,2.7648,-0.5333,3.2981
SL1344_RS11015,-0.5178,0.1434,-0.6612,-0.332,-0.0858,-0.2462
SL1344_RS11020,-1.8828,-0.2436,-1.6392,1.832,0.6891,1.1429
SL1344_RS11025,0.8953,0.5393,0.356,0.5231,0.2491,0.274
SL1344_RS11045,0.6197,1.7284,-1.1087,-0.0425,2.9261,-2.9686
SL1344_RS11050,-0.0324,-0.9941,0.9617,-0.0425,1.3412,-1.3837
SL1344_RS11065,-1.7022,1.1907,-2.8929,-1.6275,1.1144,-2.7419
SL1344_RS11080,2.2046,2.9508,-0.7462,-2.3644,-0.5333,-1.8311
SL1344_RS11085,0.6197,-0.2192,0.8389,-0.0425,2.274,-2.3165
SL1344_RS11090,0.0494,-0.5171,0.5665,1.1618,1.0517,0.1101
SL1344_RS11100,1.4677,0.9914,0.4763,1.832,0.6891,1.1429
SL1344_RS11110,1.1761,-0.7741,1.9502,1.1799,-2.1183,3.2982
SL1344_RS11115,0.017,-2.0442,2.0612,0.0109,-2.3543,2.3652
SL1344_RS11120,-0.9653,-0.5936,-0.3717,-1.421,-2.6488,1.2278
SL1344_RS11125,1.3566,0.1434,1.2132,-0.4051,-0.2438,-0.1613
SL1344_RS11130,3.427,2.4653,0.9617,0.6945,0.6891,0.0054
SL1344_RS11150,2.2046,0.1434,2.0612,-1.6275,0.6891,-2.3166
SL1344_RS11155,0.3787,-0.0976,0.4763,-0.0425,-1.2703,1.2278
SL1344_RS11160,-0.0324,-0.9941,0.9617,-0.249,-0.1923,-0.0567
SL1344_RS11175,-1.4958,-0.3871,-1.1087,1.095,-1.2703,2.3653
SL1344_RS11185,0.6197,0.1434,0.4763,-1.6275,-0.5333,-1.0942
SL1344_RS11195,-0.6027,-2.6639,2.0612,-0.0425,1.0517,-1.0942
SL1344_RS11200,-0.0324,-3.316,3.2836,0.3201,0.1188,0.2013
SL1344_RS11205,0.7847,0.7714,0.0133,0.7704,0.8866,-0.1162
SL1344_RS11210,1.0503,1.2346,-0.1843,0.1985,0.3718,-0.1733
SL1344_RS11225,-1.7022,0.1434,-1.8456,-1.6275,-0.5333,-1.0942
SL1344_RS11230,2.9416,0.1434,2.7982,-2.8499,-1.7557,-1.0942
SL1344_RS11275,-0.7588,0.3499,-1.1087,-0.0425,1.4261,-1.4686
SL1344_RS11280,-0.5178,0.1434,-0.6612,0.3201,0.9073,-0.5872
SL1344_RS11290,-0.9653,0.8804,-1.8457,-0.0425,-0.5333,0.4908
SL1344_RS11310,0.6197,1.1852,-0.5655,1.2529,1.2927,-0.0398
SL1344_RS11340,0.6197,0.1434,0.4763,2.2794,1.7886,0.4908
SL1344_RS11345,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS11350,-0.2283,-1.4416,1.2133,-0.8905,-2.1183,1.2278
SL1344_RS11360,-0.7243,-2.5791,1.8548,-0.4786,-1.8869,1.4083
SL1344_RS11365,-0.1173,-0.0317,-0.0856,0.9009,1.3208,-0.4199
SL1344_RS11375,-0.5178,-0.6531,0.1353,-0.1869,0.1188,-0.3057
SL1344_RS11380,-0.7588,0.5304,-1.2892,-1.421,0.4101,-1.8311
SL1344_RS11385,0.4391,-1.1367,1.5758,-0.5279,0.1188,-0.6467
SL1344_RS11390,0.3302,0.1434,0.1868,-0.6946,-0.0858,-0.6088
SL1344_RS11400,-0.3314,-2.3926,2.0612,2.2794,-0.2923,2.5717
SL1344_RS11410,0.3302,0.9319,-0.6017,-0.9356,0.4101,-1.3457
SL1344_RS11420,-0.3237,-0.5936,0.2699,-0.9659,-1.0293,0.0634
SL1344_RS11430,-0.1173,-0.9561,0.8388,1.5425,1.9692,-0.4267
SL1344_RS11440,0.0892,1.8005,-1.7113,-0.6946,0.6511,-1.3457
SL1344_RS11450,0.3833,-0.6591,1.0424,0.4734,0.3906,0.0828
SL1344_RS11455,-1.7022,-0.5936,-1.1086,-2.3644,-1.2703,-1.0941
SL1344_RS11460,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS11465,-0.4445,-0.9207,0.4762,-1.142,-0.5333,-0.6087
SL1344_RS11470,-0.9653,-1.4416,0.4763,-1.6275,0.2037,-1.8312
SL1344_RS11475,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS11480,2.2046,0.1434,2.0612,-0.0425,-2.1183,2.0758
SL1344_RS11490,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS11495,-2.1877,-1.079,-1.1087,-0.5279,-0.4021,-0.1258
SL1344_RS11500,-0.5178,-3.316,2.7982,-0.0425,-2.8552,2.8127
SL1344_RS11505,-0.8092,-2.6639,1.8547,-2.3644,-2.0072,-0.3572
SL1344_RS11530,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS11545,1.8421,1.3658,0.4763,-0.7795,-1.2703,0.4908
SL1344_RS11555,-0.1688,-2.5196,2.3508,0.6945,1.7886,-1.0941
SL1344_RS11570,0.6197,-0.5936,1.2133,1.095,-2.8552,3.9502
SL1344_RS11625,-1.3063,-1.7826,0.4763,-1.99,-1.8288,-0.1612
SL1344_RS11645,-0.0727,-2.0457,1.973,-0.0608,-1.8974,1.8366
SL1344_RS11670,3.427,0.1434,3.2836,0.6945,1.0517,-0.3572
SL1344_RS11675,0.6197,-1.4416,2.0613,-0.0425,-2.1183,2.0758
SL1344_RS11680,-1.2548,-3.316,2.0612,-0.0425,-2.1183,2.0758
SL1344_RS11705,-0.9653,-1.4416,0.4763,-1.18,-0.8228,-0.3572
SL1344_RS11710,-0.9653,0.1434,-1.1087,1.5425,1.7886,-0.2461
SL1344_RS11755,2.2046,1.7284,0.4762,-1.6275,0.2037,-1.8312
SL1344_RS11765,0.6197,-1.4416,2.0613,-0.0425,1.0517,-1.0942
SL1344_RS11770,-0.1173,0.4844,-0.6017,0.6494,1.1925,-0.5431
SL1344_RS11775,-0.4583,-0.0171,-0.4412,0.1639,1.4387,-1.2748
SL1344_RS11865,-0.9653,-0.2192,-0.7461,-0.0425,0.3147,-0.3572
SL1344_RS11875,1.1405,-1.5728,2.7133,0.4925,-2.2411,2.7336
SL1344_RS11880,-0.2471,-1.6409,1.3938,-0.5495,-1.2007,0.6512
SL1344_RS11950,-1.7022,0.9914,-2.6936,2.0081,0.1188,1.8893
SL1344_RS11970,-1.0502,-0.7379,-0.3123,0.1716,0.0323,0.1393
SL1344_RS11975,-0.6504,-0.5703,-0.0801,-0.3528,-0.0612,-0.2916
SL1344_RS11980,0.6197,-0.5087,1.1284,-0.9356,-0.3269,-0.6087
SL1344_RS12005,0.2571,-0.7046,0.9617,-1.2649,-0.5333,-0.7316
SL1344_RS12010,2.2046,0.1434,2.0612,-1.6275,0.2037,-1.8312
SL1344_RS12015,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS12020,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS12025,0.6197,1.7284,-1.1087,-1.6275,-0.5333,-1.0942
SL1344_RS12035,1.1672,-0.3871,1.5543,-0.3474,0.5006,-0.848
SL1344_RS12060,0.5166,-1.5446,2.0612,0.3445,0.1586,0.1859
SL1344_RS12075,-1.7022,0.6288,-2.331,0.1985,-0.5333,0.7318
SL1344_RS12090,0.6197,0.6288,-0.0091,0.2985,0.3147,-0.0162
SL1344_RS12095,0.9648,-0.2081,1.1729,0.3445,0.2898,0.0547
SL1344_RS12100,-0.9653,-0.7046,-0.2607,-0.0425,1.7886,-1.8311
SL1344_RS12105,-0.9653,0.1434,-1.1087,-0.0425,-1.2703,1.2278
SL1344_RS12110,0.6197,2.4653,-1.8456,1.5425,1.7886,-0.2461
SL1344_RS12115,0.6197,0.506,0.1137,0.3201,1.1829,-0.8628
SL1344_RS12145,1.7192,0.1434,1.5758,1.4314,0.3842,1.0472
SL1344_RS12155,-0.1173,-0.1081,-0.0092,-1.9406,-1.247,-0.6936
SL1344_RS12170,-0.5178,-0.2117,-0.3061,-0.1227,0.407,-0.5297
SL1344_RS12175,0.6197,0.1434,0.4763,-2.3644,-2.8552,0.4908
SL1344_RS12180,0.6197,-0.5936,1.2133,-2.3644,-1.2703,-1.0941
SL1344_RS12185,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS12190,-0.2283,-3.0265,2.7982,-0.7795,-0.5333,-0.2462
SL1344_RS12195,0.1343,0.506,-0.3717,-1.2649,1.3032,-2.5681
SL1344_RS12210,0.3644,-0.9786,1.343,-0.0425,0.5508,-0.5933
SL1344_RS12215,-0.7588,-0.7497,-0.0091,-0.0425,1.1548,-1.1973
SL1344_RS12220,1.2364,0.7601,0.4763,-0.6592,0.5578,-1.217
SL1344_RS12260,0.5309,0.5136,0.0173,-0.0876,-0.3839,0.2963
SL1344_RS12275,-2.1877,-0.342,-1.8457,1.5425,1.5822,-0.0397
SL1344_RS12280,-0.9653,0.1434,-1.1087,1.5425,0.6891,0.8534
SL1344_RS12315,1.4161,-1.7826,3.1987,1.3243,-0.8743,2.1986
SL1344_RS12340,-0.9653,1.3658,-2.3311,0.8506,0.5662,0.2844
SL1344_RS12345,-0.2734,-0.3871,0.1137,3.4169,3.859,-0.4421
SL1344_RS12360,-0.1173,0.1434,-0.2607,0.8055,-0.0479,0.8534
SL1344_RS12370,1.0671,-3.316,4.3831,0.728,-0.2285,0.9565
SL1344_RS12375,-0.2283,0.4329,-0.6612,-0.0425,1.9692,-2.0117
SL1344_RS12380,-0.4398,-1.3176,0.8778,1.3179,2.146,-0.8281
SL1344_RS12385,-0.6027,0.506,-1.1087,0.6096,0.3598,0.2498
SL1344_RS12390,-0.2283,-0.2192,-0.0091,-0.4051,-0.8959,0.4908
SL1344_RS12400,0.6197,-3.0265,3.6462,-1.6275,1.3412,-2.9687
SL1344_RS12405,-0.5955,0.618,-1.2135,-0.1508,2.1057,-2.2565
SL1344_RS12410,-0.8209,-0.9346,0.1137,-2.5206,0.5563,-3.0769
SL1344_RS12415,-0.2734,0.1434,-0.4168,-0.0425,1.0517,-1.0942
SL1344_RS12420,0.6197,1.5219,-0.9022,-1.6275,1.3412,-2.9687
SL1344_RS12425,-0.9653,0.1434,-1.1087,-0.0425,1.7886,-1.8311
SL1344_RS12430,-0.9653,0.1434,-1.1087,3.1274,1.7886,1.3388
SL1344_RS12440,0.6197,0.8804,-0.2607,1.095,2.0027,-0.9077
SL1344_RS12445,-0.1173,-0.5936,0.4763,0.4429,0.3147,0.1282
SL1344_RS12450,0.6197,1.2429,-0.6232,-1.3226,0.4236,-1.7462
SL1344_RS12455,2.2046,0.1434,2.0612,0.4429,0.6042,-0.1613
SL1344_RS12500,-1.7022,0.9914,-2.6936,-0.7795,-1.2703,0.4908
SL1344_RS12515,-0.9653,-1.079,0.1137,-1.18,0.3996,-1.5796
SL1344_RS12520,-0.9653,1.3658,-2.3311,1.3981,-3.3407,4.7388
SL1344_RS12525,1.4677,0.1434,1.3243,-0.0425,0.1188,-0.1613
SL1344_RS12565,-0.9653,-1.4416,0.4763,1.0216,-0.0858,1.1074
SL1344_RS12570,0.6197,1.3658,-0.7461,1.057,0.5662,0.4908
SL1344_RS12575,0.0096,0.1434,-0.1338,1.057,2.274,-1.217
SL1344_RS12590,-0.9653,1.3658,-2.3311,-0.0425,-0.5333,0.4908
SL1344_RS12595,-1.2548,0.1434,-1.3982,-1.421,-1.4264,0.0054
SL1344_RS12645,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS12705,-0.0084,0.1434,-0.1518,0.8055,1.7886,-0.9831
SL1344_RS12710,-1.2548,1.9694,-3.2242,0.5855,1.9845,-1.399
SL1344_RS12740,0.6197,0.8804,-0.2607,-0.0425,-0.5333,0.4908
SL1344_RS12750,1.3566,1.7284,-0.3718,-0.0425,1.7886,-1.8311
SL1344_RS12760,-0.0324,-0.5087,0.4763,0.0685,-0.4223,0.4908
SL1344_RS12780,-0.1173,-0.1081,-0.0092,0.8055,1.1144,-0.3089
SL1344_RS12795,0.9822,0.7955,0.1867,0.1888,0.2285,-0.0397
SL1344_RS12810,1.2871,1.2654,0.0217,0.4296,0.5349,-0.1053
SL1344_RS12845,1.4677,0.9914,0.4763,-0.0425,2.6366,-2.6791
SL1344_RS12850,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS12855,-2.0126,-1.3514,-0.6612,-1.3226,0.6646,-1.9872
SL1344_RS12860,-0.9653,0.8804,-1.8457,-0.7795,-1.2703,0.4908
SL1344_RS12900,2.9416,0.1434,2.7982,-1.6275,0.2037,-1.8312
SL1344_RS12910,-0.7588,-1.9721,1.2133,-1.2649,-1.7557,0.4908
SL1344_RS12925,-0.9653,-0.3942,-0.5711,-0.2277,-1.1804,0.9527
SL1344_RS12945,-0.4799,-1.4416,0.9617,-0.5495,1.1548,-1.7043
SL1344_RS12955,-2.5502,-0.7046,-1.8456,-0.0425,-1.2703,1.2278
SL1344_RS12960,0.6197,0.8804,-0.2607,-0.0425,1.5822,-1.6247
SL1344_RS12965,0.6197,1.7284,-1.1087,1.5425,2.274,-0.7315
SL1344_RS12970,-3.7726,-1.4416,-2.331,0.6945,2.274,-1.5795
SL1344_RS12980,1.0586,1.0945,-0.0359,0.5834,0.5615,0.0219
SL1344_RS12990,1.9982,1.2809,0.7173,1.5425,1.7886,-0.2461
SL1344_RS13055,0.2327,-2.3591,2.5918,0.4429,1.7886,-1.3457
SL1344_RS13075,0.6197,0.1434,0.4763,0.4429,0.8452,-0.4023
SL1344_RS13080,-2.1877,-2.6639,0.4762,1.5425,-0.5333,2.0758
SL1344_RS13090,-0.2034,-1.5728,1.3694,-1.1337,-1.1036,-0.0301
SL1344_RS13150,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS13170,-0.9653,1.7284,-2.6937,-1.2649,-0.5333,-0.7316
SL1344_RS13180,2.7352,2.4653,0.2699,3.8644,3.859,0.0054
SL1344_RS13185,-0.9653,0.1434,-1.1087,-0.7795,-1.2703,0.4908
SL1344_RS13190,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13195,-0.9653,0.8804,-1.8457,-0.7795,-2.8552,2.0757
SL1344_RS13200,-0.2283,-1.4416,1.2133,-0.7795,-0.0479,-0.7316
SL1344_RS13255,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13260,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13265,2.3852,2.0694,0.3158,0.1639,0.5211,-0.3572
SL1344_RS13270,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13275,-2.1877,-2.6639,0.4762,-0.0425,-1.2703,1.2278
SL1344_RS13280,2.2046,0.1434,2.0612,-0.0425,1.0517,-1.0942
SL1344_RS13285,-0.9653,0.8804,-1.8457,-0.0425,-0.5333,0.4908
SL1344_RS13290,0.6197,0.6288,-0.0091,-1.18,-0.2923,-0.8877
SL1344_RS13295,-0.1173,0.1434,-0.2607,-0.0425,1.0517,-1.0942
SL1344_RS13300,0.6197,-1.4416,2.0613,0.4429,1.5371,-1.0942
SL1344_RS13305,2.2046,0.1434,2.0612,-0.0425,-0.5333,0.4908
SL1344_RS13315,-0.1173,0.1434,-0.2607,-0.6946,-0.8228,0.1282
SL1344_RS13320,1.1051,0.1434,0.9617,0.6945,1.0517,-0.3572
SL1344_RS13325,0.1476,0.55,-0.4024,0.4429,1.3261,-0.8832
SL1344_RS13330,-1.4958,-0.7497,-0.7461,-0.0425,-0.5333,0.4908
SL1344_RS13335,-0.9653,-1.4416,0.4763,1.5425,1.0517,0.4908
SL1344_RS13340,0.6197,1.7284,-1.1087,1.5425,-0.5333,2.0758
SL1344_RS13345,-1.7022,0.1434,-1.8456,-0.0425,-1.2703,1.2278
SL1344_RS13350,-1.7022,-2.1785,0.4763,1.5425,-0.5333,2.0758
SL1344_RS13355,0.6197,1.3658,-0.7461,-2.8499,-1.0187,-1.8312
SL1344_RS13360,0.4592,-0.0171,0.4763,0.0176,-1.5643,1.5819
SL1344_RS13365,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13370,0.6197,-2.1785,2.7982,-0.5279,-1.0187,0.4908
SL1344_RS13375,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS13385,-1.7022,0.1434,-1.8456,-0.7795,-1.2703,0.4908
SL1344_RS13390,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS13395,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13405,0.6197,0.1434,0.4763,-0.0425,0.9073,-0.9498
SL1344_RS13410,2.2046,0.1434,2.0612,-2.3644,-2.8552,0.4908
SL1344_RS13415,-0.1173,-2.1785,2.0612,-2.3644,-2.8552,0.4908
SL1344_RS13420,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS13425,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13430,3.427,0.1434,3.2836,1.5425,-0.5333,2.0758
SL1344_RS13440,-1.2463,-1.3192,0.0729,-0.1327,-0.0858,-0.0469
SL1344_RS13450,0.6197,0.8804,-0.2607,2.073,0.2037,1.8693
SL1344_RS13460,2.2046,0.1434,2.0612,1.5425,2.274,-0.7315
SL1344_RS13465,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13470,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13475,-1.7022,0.1434,-1.8456,1.5425,1.7886,-0.2461
SL1344_RS13480,-1.7022,-0.5936,-1.1086,-0.0425,2.274,-2.3165
SL1344_RS13485,0.6197,1.7284,-1.1087,-0.0425,1.0517,-1.0942
SL1344_RS13490,-1.2548,-1.7311,0.4763,-2.3644,-0.0479,-2.3165
SL1344_RS13495,2.2046,0.1434,2.0612,-0.0425,1.0517,-1.0942
SL1344_RS13500,0.154,-0.3223,0.4763,-0.0425,1.2877,-1.3302
SL1344_RS13505,-0.3671,-0.8434,0.4763,-0.3456,-0.564,0.2184
SL1344_RS13510,0.6197,1.7284,-1.1087,-1.6275,0.2037,-1.8312
SL1344_RS13520,-0.7588,-1.2351,0.4763,-0.5279,0.1188,-0.6467
SL1344_RS13525,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS13530,0.6197,1.7284,-1.1087,-0.0425,-0.5333,0.4908
SL1344_RS13540,0.6197,-1.4416,2.0613,0.6945,1.7886,-1.0941
SL1344_RS13580,-1.1717,-2.1785,1.0068,-0.9994,-0.8228,-0.1766
SL1344_RS13600,-0.1688,0.419,-0.5878,-0.4295,0.8055,-1.235
SL1344_RS13625,1.3566,0.1434,1.2132,2.2794,-0.5333,2.8127
SL1344_RS13630,0.1343,-1.079,1.2133,-0.573,-1.4264,0.8534
SL1344_RS13635,0.6197,1.7284,-1.1087,-2.8499,-1.7557,-1.0942
SL1344_RS13645,0.2043,-0.3305,0.5348,-0.0685,0.2011,-0.2696
SL1344_RS13650,-1.2038,-1.0162,-0.1876,-2.1961,-0.9437,-1.2524
SL1344_RS13655,-0.6712,0.0856,-0.7568,-0.1163,-0.2792,0.1629
SL1344_RS13690,-0.5178,-0.1461,-0.3717,-0.8905,-0.0028,-0.8877
