gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
SL1344_RS01265,-1.8425,-0.7338,-1.1087,-0.6705,-0.5995,-0.071
SL1344_RS01270,0.7744,0.2484,0.526,-0.1986,-1.4264,1.2278
SL1344_RS01275,0.0872,0.0765,0.0107,0.0613,0.2078,-0.1465
SL1344_RS01285,1.5526,1.0763,0.4763,0.5194,0.2037,0.3157
SL1344_RS01300,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS01305,-0.4583,1.1049,-1.5632,-0.294,0.6557,-0.9497
SL1344_RS01310,-0.8209,-1.2972,0.4763,0.0778,-1.3564,1.4342
SL1344_RS01325,0.1722,-0.063,0.2352,0.6945,1.0517,-0.3572
SL1344_RS01340,-1.2548,0.5253,-1.7801,-0.0425,3.2533,-3.2958
SL1344_RS01345,0.3302,-0.5087,0.8389,-0.0425,0.0834,-0.1259
SL1344_RS01365,-0.9653,0.1434,-1.1087,0.4429,0.6042,-0.1613
SL1344_RS01395,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01400,-1.7022,-0.5936,-1.1086,-2.8499,-0.1707,-2.6792
SL1344_RS01405,-0.1173,-2.1785,2.0612,-0.0425,1.7886,-1.8311
SL1344_RS01410,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01415,2.2046,2.4653,-0.2607,-1.6275,-2.1183,0.4908
SL1344_RS01435,-2.1877,-1.079,-1.1087,-1.6275,-2.1183,0.4908
SL1344_RS01450,2.2046,1.7284,0.4762,-0.0425,1.7886,-1.8311
SL1344_RS01455,-1.2548,-3.316,2.0612,-1.2649,-1.7557,0.4908
SL1344_RS01460,0.6197,1.7284,-1.1087,-0.0425,0.1188,-0.1613
SL1344_RS01465,2.2046,1.7284,0.4762,-0.0425,0.2037,-0.2462
SL1344_RS01470,0.6197,-1.4416,2.0613,-1.6275,-1.3813,-0.2462
SL1344_RS01475,-2.5953,-1.3554,-1.2399,0.1936,-1.1672,1.3608
SL1344_RS01480,0.6197,0.1434,0.4763,-0.0425,2.9261,-2.9686
SL1344_RS01495,2.9416,0.1434,2.7982,-1.6275,-2.1183,0.4908
SL1344_RS01500,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01505,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS01535,0.1343,1.0365,-0.9022,-1.1205,-0.8743,-0.2462
SL1344_RS01545,-0.6027,-1.079,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS01560,-0.2283,-0.7046,0.4763,2.2794,-0.5333,2.8127
SL1344_RS01565,-1.7022,-3.7635,2.0613,-1.917,-1.1854,-0.7316
SL1344_RS01575,-1.7022,-2.1785,0.4763,-0.0425,0.6891,-0.7316
SL1344_RS01580,-1.2784,-2.4068,1.1284,0.1985,1.2167,-1.0182
SL1344_RS01595,0.4132,0.324,0.0892,-0.7099,-0.5333,-0.1766
SL1344_RS01655,-0.4799,0.4844,-0.9643,-1.1066,0.3694,-1.476
SL1344_RS01675,0.4968,0.1434,0.3534,0.6945,-0.056,0.7505
SL1344_RS01680,-0.9653,-1.4416,0.4763,1.5425,-0.5333,2.0758
SL1344_RS01695,0.6197,1.7284,-1.1087,2.2794,-0.5333,2.8127
SL1344_RS01700,0.6197,0.1434,0.4763,-1.2649,-0.1707,-1.0942
SL1344_RS01705,-1.7022,0.1434,-1.8456,-0.0425,2.274,-2.3165
SL1344_RS01715,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01730,0.2327,-0.2436,0.4763,-0.9356,0.1586,-1.0942
SL1344_RS01740,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01745,0.6197,0.1434,0.4763,2.2794,1.0517,1.2277
SL1344_RS01755,1.7572,0.6288,1.1284,0.4429,-1.2703,1.7132
SL1344_RS01760,0.6197,0.1434,0.4763,1.1799,1.5822,-0.4023
SL1344_RS01765,1.3566,0.1434,1.2132,0.6945,-2.1183,2.8128
SL1344_RS01770,2.2046,0.1434,2.0612,-0.0425,-0.5333,0.4908
SL1344_RS01775,2.2046,1.7284,0.4762,-0.0425,-0.5333,0.4908
SL1344_RS01780,-0.6027,-1.079,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01785,-0.9653,-1.4416,0.4763,1.5425,1.0517,0.4908
SL1344_RS01825,-0.6604,-0.4846,-0.1758,-0.4051,1.0517,-1.4568
SL1344_RS01830,-1.0965,-0.2927,-0.8038,-0.7344,-0.0676,-0.6668
SL1344_RS01835,0.0578,-2.0034,2.0612,-0.9452,-0.5333,-0.4119
SL1344_RS01845,-0.9653,-1.4416,0.4763,-0.0425,1.7886,-1.8311
SL1344_RS01870,0.3787,-0.7497,1.1284,-0.4295,-0.5333,0.1038
SL1344_RS01895,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01910,-0.3963,-0.4817,0.0854,-0.0959,0.3147,-0.4106
SL1344_RS01935,-2.5502,-0.3636,-2.1866,-0.3769,0.1006,-0.4775
SL1344_RS01940,-2.8398,-0.5087,-2.3311,0.6945,2.274,-1.5795
SL1344_RS01950,2.9416,2.4653,0.4763,1.5425,1.0517,0.4908
SL1344_RS01955,-2.1877,-1.079,-1.1087,-0.7795,-0.7398,-0.0397
SL1344_RS01980,-0.734,-1.5728,0.8388,0.505,0.8955,-0.3905
SL1344_RS01995,-0.5647,-2.9155,2.3508,-0.813,-1.6908,0.8778
SL1344_RS02060,0.645,1.8816,-1.2366,-0.1159,1.4697,-1.5856
SL1344_RS02095,3.427,0.1434,3.2836,-1.6275,-0.5333,-1.0942
SL1344_RS02100,-0.9653,0.8804,-1.8457,-0.5279,-0.5333,0.0054
SL1344_RS02115,-0.6341,-2.0034,1.3693,-0.1387,-1.2396,1.1009
SL1344_RS02120,-1.7022,0.9914,-2.6936,0.8506,0.9073,-0.0567
SL1344_RS02155,-0.2471,-1.6409,1.3938,-1.4831,-0.6938,-0.7893
SL1344_RS02225,-0.7789,0.84,-1.6189,0.1019,1.8481,-1.7462
SL1344_RS02230,0.4753,0.506,-0.0307,0.4232,0.6891,-0.2659
SL1344_RS02235,-2.1877,-2.6639,0.4762,0.8055,-1.2703,2.0758
SL1344_RS02240,1.3566,0.1434,1.2132,-0.7795,0.6042,-1.3837
SL1344_RS02250,-0.1173,-0.5936,0.4763,-0.7795,0.3147,-1.0942
SL1344_RS02255,1.2718,-0.342,1.6138,-1.6275,-3.7032,2.0757
SL1344_RS02275,-0.5178,0.9319,-1.4497,-1.18,0.7622,-1.9422
SL1344_RS02315,0.6197,0.1434,0.4763,1.5425,1.0517,0.4908
SL1344_RS02330,1.8421,2.0179,-0.1758,2.073,1.9692,0.1038
SL1344_RS02350,-1.3063,-0.4041,-0.9022,0.2678,-0.4223,0.6901
SL1344_RS02355,1.3566,1.0609,0.2957,-0.4786,-0.1027,-0.3759
SL1344_RS02375,-2.4392,0.2544,-2.6936,2.1451,1.3412,0.8039
SL1344_RS02380,0.6197,0.7955,-0.1758,0.6945,1.9692,-1.2747
SL1344_RS02385,-1.0374,0.4583,-1.4957,-1.338,0.3842,-1.7222
SL1344_RS02390,-1.2548,-3.316,2.0612,-0.831,-1.9739,1.1429
SL1344_RS02400,-0.4445,-1.2102,0.7657,0.6945,-1.3813,2.0758
SL1344_RS02410,-0.7789,-1.0141,0.2352,0.875,1.4261,-0.5511
SL1344_RS02440,0.4056,0.84,-0.4344,0.8682,1.0517,-0.1835
SL1344_RS02455,0.6197,1.3658,-0.7461,-1.6275,0.2037,-1.8312
SL1344_RS02470,0.6197,1.4235,-0.8038,0.2623,0.8055,-0.5432
SL1344_RS02510,-0.0324,-0.1461,0.1137,-1.18,-0.0858,-1.0942
SL1344_RS02525,-0.1173,0.2236,-0.3409,0.3936,0.8711,-0.4775
SL1344_RS02530,-0.9653,2.2589,-3.2242,1.5425,3.3736,-1.8311
SL1344_RS02545,-0.1173,-0.063,-0.0543,1.0216,0.2552,0.7664
SL1344_RS02550,1.3566,1.2214,0.1352,0.746,0.6511,0.0949
